GivenName,SurnameCount,Female,Male,Gender,pVal
英里香,2,2,0,f,0.044897086918354
英里子,2,2,0,f,0.044897086918354
英和,13,0,13,m,0.0452515780925751
衛,30,0,30,m,0.00499999988824129
詠子,5,5,0,f,0.000427115563070402
悦子,76,76,0,f,0.00100000004749745
悦代,6,6,0,f,9.05012275325134E-05
円,13,9,4,f,0.000264983449596912
円佳,2,2,0,f,0.044897086918354
円香,3,3,0,f,0.00951321329921484
園子,5,5,0,f,0.000427115563070402
園代,2,2,0,f,0.044897086918354
園美,3,3,0,f,0.00951321329921484
延代,2,2,0,f,0.044897086918354
縁,2,2,0,f,0.044897086918354
温子,13,13,0,f,1.73547376469685E-09
音々,2,2,0,f,0.044897086918354
佳,5,2,3,b,0.287234365940094
佳恵,8,8,0,f,4.06324170398875E-06
佳宏,13,0,13,m,0.0452515780925751
佳江,5,5,0,f,0.000427115563070402
佳菜,3,3,0,f,0.00951321329921484
佳菜子,2,2,0,f,0.044897086918354
佳子,80,80,0,f,0.00100000004749745
佳寿子,2,2,0,f,0.044897086918354
佳寿美,2,2,0,f,0.044897086918354
佳織,8,8,0,f,4.06324170398875E-06
佳澄,4,3,1,f,0.0320056080818176
佳世,6,6,0,f,9.05012275325134E-05
佳世子,6,6,0,f,9.05012275325134E-05
佳代,29,29,0,f,0.00100000004749745
佳代子,30,30,0,f,0.00100000004749745
佳奈,26,26,0,f,0.00100000004749745
佳奈子,13,13,0,f,1.73547376469685E-09
佳奈美,2,2,0,f,0.044897086918354
佳那,6,6,0,f,9.05012275325134E-05
佳乃,2,2,0,f,0.044897086918354
佳美,11,10,1,f,1.62015999194409E-06
佳苗,6,6,0,f,9.05012275325134E-05
佳穂,2,1,1,b,0.378881573677063
佳名恵,2,2,0,f,0.044897086918354
佳名子,2,2,0,f,0.044897086918354
佳也,4,1,3,b,0.614211916923523
佳祐,13,0,13,m,0.0452515780925751
佳与,2,2,0,f,0.044897086918354
加恵,2,2,0,f,0.044897086918354
加寿子,4,4,0,f,0.00201574829407036
加織,2,2,0,f,0.044897086918354
加代,5,5,0,f,0.000427115563070402
加代子,15,15,0,f,7.79177139476062E-11
加奈,11,11,0,f,3.86544840580427E-08
加奈絵,2,2,0,f,0.044897086918354
加奈子,30,30,0,f,0.00100000004749745
可奈,3,3,0,f,0.00951321329921484
可奈子,5,5,0,f,0.000427115563070402
可南子,5,5,0,f,0.000427115563070402
嘉子,7,7,0,f,1.91762446775101E-05
嘉代,3,3,0,f,0.00951321329921484
嘉代子,2,2,0,f,0.044897086918354
嘉之,13,0,13,m,0.0452515780925751
夏葵,2,1,1,b,0.378881573677063
夏海,6,5,1,f,0.0021101871971041
夏希,8,7,1,f,0.000124967264127918
夏紀,3,3,0,f,0.00951321329921484
夏輝,4,1,3,b,0.614211916923523
夏菜,2,2,0,f,0.044897086918354
夏子,7,7,0,f,1.91762446775101E-05
夏実,2,2,0,f,0.044897086918354
夏樹,9,1,8,b,0.401120543479919
夏代,4,4,0,f,0.00201574829407036
夏奈,2,2,0,f,0.044897086918354
夏帆,2,2,0,f,0.044897086918354
夏妃,2,2,0,f,0.044897086918354
夏美,7,7,0,f,1.91762446775101E-05
夏未,2,2,0,f,0.044897086918354
夏来,2,1,1,b,0.378881573677063
果奈,3,3,0,f,0.00951321329921484
果穂,2,2,0,f,0.044897086918354
果林,3,3,0,f,0.00951321329921484
花,2,2,0,f,0.044897086918354
花音,7,7,0,f,1.91762446775101E-05
花菜,3,3,0,f,0.00951321329921484
花子,2,2,0,f,0.044897086918354
花織,2,2,0,f,0.044897086918354
花奈,3,3,0,f,0.00951321329921484
花乃,2,2,0,f,0.044897086918354
花怜,2,2,0,f,0.044897086918354
華,6,6,0,f,9.05012275325134E-05
華菜,2,2,0,f,0.044897086918354
華子,8,8,0,f,4.06324170398875E-06
華奈,2,2,0,f,0.044897086918354
華奈子,2,2,0,f,0.044897086918354
華苗,2,2,0,f,0.044897086918354
華穂,2,2,0,f,0.044897086918354
芽以,2,2,0,f,0.044897086918354
芽衣,5,5,0,f,0.000427115563070402
芽子,2,2,0,f,0.044897086918354
芽生,3,3,0,f,0.00951321329921484
賀子,8,8,0,f,4.06324170398875E-06
賀代,2,2,0,f,0.044897086918354
雅,16,1,15,b,0.11743888258934
雅一,21,0,21,m,0.00673490390181541
雅恵,6,6,0,f,9.05012275325134E-05
雅幸,16,0,16,m,0.0221511032432318
雅弘,29,0,29,m,0.00600000005215406
雅浩,13,0,13,m,0.0452515780925751
雅行,16,0,16,m,0.0221511032432318
雅司,16,0,16,m,0.0221511032432318
雅史,46,0,46,m,0.00100000004749745
雅子,59,59,0,f,0.00100000004749745
雅枝,2,2,0,f,0.044897086918354
雅実,3,1,2,b,0.510489940643311
雅樹,33,0,33,m,0.00400000018998981
雅俊,30,0,30,m,0.00499999988824129
雅章,17,0,17,m,0.0174575205892324
雅人,69,0,69,m,0.00100000004749745
雅仁,15,0,15,m,0.0281065888702869
雅世,3,3,0,f,0.00951321329921484
雅則,15,0,15,m,0.0281065888702869
雅代,19,19,0,f,1.57062514036244E-13
雅之,89,0,89,m,0.00100000004749745
雅博,27,0,27,m,0.00800000037997961
雅美,33,24,9,f,0.00100000004749745
雅彦,73,0,73,m,0.00100000004749745
雅敏,14,0,14,m,0.0356632508337498
雅夫,17,0,17,m,0.0174575205892324
雅文,26,0,26,m,0.00899999961256981
雅明,16,0,16,m,0.0221511032432318
雅也,52,0,52,m,0.00100000004749745
雅裕,16,0,16,m,0.0221511032432318
絵美,20,20,0,f,3.32798702875128E-14
絵美子,5,5,0,f,0.000427115563070402
絵梨,3,3,0,f,0.00951321329921484
絵梨子,3,3,0,f,0.00951321329921484
絵理,7,7,0,f,1.91762446775101E-05
絵理香,3,3,0,f,0.00951321329921484
絵理子,4,4,0,f,0.00201574829407036
絵里,10,10,0,f,1.82427712047684E-07
絵里佳,2,2,0,f,0.044897086918354
絵里加,2,2,0,f,0.044897086918354
絵里香,5,5,0,f,0.000427115563070402
絵里子,6,6,0,f,9.05012275325134E-05
絵里奈,2,2,0,f,0.044897086918354
馨,21,1,20,m,0.0447601974010468
馨子,2,2,0,f,0.044897086918354
格,14,0,14,m,0.0356632508337498
覚,31,0,31,m,0.00499999988824129
学,192,0,192,m,0.00100000004749745
岳,26,0,26,m,0.00899999961256981
岳史,14,0,14,m,0.0356632508337498
叶恵,2,2,0,f,0.044897086918354
寛,93,0,93,m,0.00100000004749745
寛子,22,22,0,f,1.49416918945102E-15
寛人,14,0,14,m,0.0356632508337498
寛之,51,0,51,m,0.00100000004749745
寛美,4,3,1,f,0.0320056080818176
幹夫,24,0,24,m,0.0120000001043081
幹雄,22,0,22,m,0.00530784949660301
環,8,3,5,b,0.229819104075432
環美,2,2,0,f,0.044897086918354
巌,18,0,18,m,0.0137584581971169
喜一,13,0,13,m,0.0452515780925751
喜久,6,1,5,b,0.626161813735962
喜久江,2,2,0,f,0.044897086918354
喜久子,3,3,0,f,0.00951321329921484
喜久美,2,2,0,f,0.044897086918354
喜子,4,4,0,f,0.00201574829407036
喜代子,4,4,0,f,0.00201574829407036
喜代美,7,7,0,f,1.91762446775101E-05
喜美子,8,8,0,f,4.06324170398875E-06
喜美代,2,2,0,f,0.044897086918354
基,21,0,21,m,0.00673490390181541
希,13,11,2,f,1.95835355043528E-06
希実,3,3,0,f,0.00951321329921484
希代子,2,2,0,f,0.044897086918354
希美,3,3,0,f,0.00951321329921484
希望,8,6,2,f,0.00169890280812979
幾子,3,3,0,f,0.00951321329921484
毅,117,0,117,m,0.00100000004749745
紀久子,2,2,0,f,0.044897086918354
紀子,75,75,0,f,0.00100000004749745
紀実,2,1,1,b,0.378881573677063
紀美江,2,2,0,f,0.044897086918354
紀美子,2,2,0,f,0.044897086918354
紀美代,2,2,0,f,0.044897086918354
紀彦,14,0,14,m,0.0356632508337498
紀夫,15,0,15,m,0.0281065888702869
規子,7,7,0,f,1.91762446775101E-05
記子,2,2,0,f,0.044897086918354
記代美,2,2,0,f,0.044897086918354
貴,24,0,24,m,0.0120000001043081
貴紀,14,0,14,m,0.0356632508337498
貴久,18,0,18,m,0.0137584581971169
貴光,13,0,13,m,0.0452515780925751
貴宏,17,0,17,m,0.0174575205892324
貴幸,15,0,15,m,0.0281065888702869
貴広,14,0,14,m,0.0356632508337498
貴弘,24,0,24,m,0.0120000001043081
貴浩,17,0,17,m,0.0174575205892324
貴行,16,0,16,m,0.0221511032432318
貴司,25,0,25,m,0.00999999977648258
貴史,59,0,59,m,0.00100000004749745
貴士,20,0,20,m,0.00854563154280186
貴子,66,66,0,f,0.00100000004749745
貴志,60,0,60,m,0.00100000004749745
貴世,2,1,1,b,0.378881573677063
貴代,3,3,0,f,0.00951321329921484
貴代美,2,2,0,f,0.044897086918354
貴大,44,0,44,m,0.00100000004749745
貴之,104,0,104,m,0.00100000004749745
貴博,35,0,35,m,0.00300000002607703
貴美,2,2,0,f,0.044897086918354
貴美子,16,16,0,f,1.65099323101714E-11
貴美代,3,3,0,f,0.00951321329921484
貴彦,24,0,24,m,0.0120000001043081
貴文,20,0,20,m,0.00854563154280186
貴野,2,2,0,f,0.044897086918354
貴裕,33,0,33,m,0.00400000018998981
貴洋,13,0,13,m,0.0452515780925751
輝,37,0,37,m,0.00300000002607703
輝久,14,0,14,m,0.0356632508337498
輝子,5,5,0,f,0.000427115563070402
輝美,12,10,2,f,7.85216707299696E-06
輝彦,13,0,13,m,0.0452515780925751
宜子,2,2,0,f,0.044897086918354
義一,21,0,21,m,0.00673490390181541
義久,18,0,18,m,0.0137584581971169
義孝,17,0,17,m,0.0174575205892324
義幸,16,0,16,m,0.0221511032432318
義弘,20,0,20,m,0.00854563154280186
義子,3,3,0,f,0.00951321329921484
義治,22,0,22,m,0.00530784949660301
義昭,17,0,17,m,0.0174575205892324
義信,19,0,19,m,0.0108431875705719
義人,29,0,29,m,0.00600000005215406
義仁,15,0,15,m,0.0281065888702869
義則,24,0,24,m,0.0120000001043081
義典,13,0,13,m,0.0452515780925751
義之,31,0,31,m,0.00499999988824129
義美,4,1,3,b,0.614211916923523
義彦,23,0,23,m,0.00418317271396518
義明,37,0,37,m,0.00300000002607703
義雄,17,0,17,m,0.0174575205892324
義隆,18,0,18,m,0.0137584581971169
義和,22,0,22,m,0.00530784949660301
菊江,2,2,0,f,0.044897086918354
菊子,2,2,0,f,0.044897086918354
吉英,2,1,1,b,0.378881573677063
吉美,3,2,1,b,0.115664832293987
久,29,0,29,m,0.00600000005215406
久恵,6,6,0,f,9.05012275325134E-05
久江,2,2,0,f,0.044897086918354
久子,20,20,0,f,3.32798702875128E-14
久枝,3,3,0,f,0.00951321329921484
